TransactionID,Item,ItemCategory1,ItemCategory2
421,chewing gum,snacks and candies,chewing gum
421,dishes,non-food,non-food kitchen
422,soda,drinks,non-alc. drinks
422,chewing gum,snacks and candies,chewing gum
423,whole milk,fresh products,dairy produce
424,rolls/buns,fresh products,bread and backed goods
425,bottled beer,drinks,beer
426,root vegetables,fruit and vegetables,vegetables
426,pastry,fresh products,bread and backed goods
426,bottled water,drinks,non-alc. drinks
426,male cosmetics,perfumery,cosmetics
427,pastry,fresh products,bread and backed goods
428,berries,fruit and vegetables,fruit
428,pet care,canned food,pet food/care
428,cake bar,snacks and candies,long-life bakery products
428,shopping bags,non-food,bags
429,citrus fruit,fruit and vegetables,fruit
429,tropical fruit,fruit and vegetables,fruit
429,root vegetables,fruit and vegetables,vegetables
429,yogurt,fresh products,dairy produce
429,canned vegetables,canned food,canned fruit/vegetables
429,bottled water,drinks,non-alc. drinks
429,soda,drinks,non-alc. drinks
429,softener,detergent,detergent/softener
430,whole milk,fresh products,dairy produce
430,oil,processed food,vinegar/oils
430,canned fruit,canned food,canned fruit/vegetables
430,fruit/vegetable juice,drinks,non-alc. drinks
431,soda,drinks,non-alc. drinks
431,misc. beverages,drinks,non-alc. drinks
432,bottled water,drinks,non-alc. drinks
432,soda,drinks,non-alc. drinks
433,tropical fruit,fruit and vegetables,fruit
433,other vegetables,fruit and vegetables,vegetables
433,rolls/buns,fresh products,bread and backed goods
434,salty snack,snacks and candies,snacks
435,bottled water,drinks,non-alc. drinks
435,canned beer,drinks,beer
436,chocolate,snacks and candies,chocolate
437,citrus fruit,fruit and vegetables,fruit
437,UHT-milk,fresh products,shelf-stable dairy
437,cream cheese,fresh products,cheese
437,frozen vegetables,fresh products,frozen foods
438,bottled water,drinks,non-alc. drinks
438,canned beer,drinks,beer
438,male cosmetics,perfumery,cosmetics
439,onions,fruit and vegetables,vegetables
439,other vegetables,fruit and vegetables,vegetables
439,pastry,fresh products,bread and backed goods
439,bottled water,drinks,non-alc. drinks
439,soda,drinks,non-alc. drinks
439,napkins,perfumery,perfumery
440,dessert,fresh products,dairy produce
440,oil,processed food,vinegar/oils
440,cat food,canned food,pet food/care
440,soda,drinks,non-alc. drinks
441,beef,meat and sausage,beef
441,other vegetables,fruit and vegetables,vegetables
441,whole milk,fresh products,dairy produce
441,frozen potato products,fresh products,frozen foods
441,rolls/buns,fresh products,bread and backed goods
441,oil,processed food,vinegar/oils
441,margarine,processed food,vinegar/oils
441,coffee,drinks,coffee
441,dental care,perfumery,dental care
441,hygiene articles,perfumery,perfumery
441,newspapers,non-food,games/books/hobby
442,rolls/buns,fresh products,bread and backed goods
442,zwieback,fresh products,bread and backed goods
442,bottled water,drinks,non-alc. drinks
442,misc. beverages,drinks,non-alc. drinks
442,bottled beer,drinks,beer
442,canned beer,drinks,beer
442,brandy,drinks,hard drinks
443,beef,meat and sausage,beef
443,tropical fruit,fruit and vegetables,fruit
443,root vegetables,fruit and vegetables,vegetables
443,onions,fruit and vegetables,vegetables
443,other vegetables,fruit and vegetables,vegetables
443,instant coffee,drinks,coffee
443,soda,drinks,non-alc. drinks
444,soda,drinks,non-alc. drinks
445,coffee,drinks,coffee
445,hygiene articles,perfumery,perfumery
446,rolls/buns,fresh products,bread and backed goods
446,brown bread,fresh products,bread and backed goods
446,bottled water,drinks,non-alc. drinks
447,pork,meat and sausage,pork
447,beef,meat and sausage,beef
447,hamburger meat,meat and sausage,beef
447,other vegetables,fruit and vegetables,vegetables
447,whole milk,fresh products,dairy produce
447,frozen vegetables,fresh products,frozen foods
447,rolls/buns,fresh products,bread and backed goods
447,margarine,processed food,vinegar/oils
447,shopping bags,non-food,bags
448,soda,drinks,non-alc. drinks
448,canned beer,drinks,beer
448,liquor (appetizer),drinks,hard drinks
448,hygiene articles,perfumery,perfumery
448,napkins,perfumery,perfumery
448,newspapers,non-food,games/books/hobby
449,sausage,meat and sausage,sausage
449,ham,meat and sausage,sausage
449,other vegetables,fruit and vegetables,vegetables
449,ice cream,fresh products,frozen foods
449,white bread,fresh products,bread and backed goods
450,beef,meat and sausage,beef
450,root vegetables,fruit and vegetables,vegetables
450,other vegetables,fruit and vegetables,vegetables
450,rolls/buns,fresh products,bread and backed goods
450,sugar,processed food,sweetener
451,whole milk,fresh products,dairy produce
451,butter,fresh products,dairy produce
451,bottled water,drinks,non-alc. drinks
451,bottled beer,drinks,beer
452,pork,meat and sausage,pork
452,ice cream,fresh products,frozen foods
452,hygiene articles,perfumery,perfumery
452,house keeping products,non-food,non-food house keeping products
453,berries,fruit and vegetables,fruit
453,packaged fruit/vegetables,fruit and vegetables,packaged fruit/vegetables
453,whole milk,fresh products,dairy produce
453,ice cream,fresh products,frozen foods
453,fruit/vegetable juice,drinks,non-alc. drinks
453,salty snack,snacks and candies,snacks
453,specialty bar,snacks and candies,chocolate
454,sausage,meat and sausage,sausage
454,other vegetables,fruit and vegetables,vegetables
454,curd,fresh products,dairy produce
454,yogurt,fresh products,dairy produce
454,whipped/sour cream,fresh products,dairy produce
454,frozen vegetables,fresh products,frozen foods
454,rolls/buns,fresh products,bread and backed goods
454,roll products,fresh products,bread and backed goods
455,bottled water,drinks,non-alc. drinks
455,misc. beverages,drinks,non-alc. drinks
455,cling film/bags,non-food,non-food kitchen
456,tropical fruit,fruit and vegetables,fruit
456,other vegetables,fruit and vegetables,vegetables
456,packaged fruit/vegetables,fruit and vegetables,packaged fruit/vegetables
456,whole milk,fresh products,dairy produce
456,hard cheese,fresh products,cheese
456,frozen dessert,fresh products,frozen foods
456,rice,processed food,staple foods
456,bottled water,drinks,non-alc. drinks
457,herbs,fruit and vegetables,vegetables
457,bottled water,drinks,non-alc. drinks
458,yogurt,fresh products,dairy produce
458,rolls/buns,fresh products,bread and backed goods
459,Instant food products,processed food,soups/sauces
460,specialty chocolate,snacks and candies,chocolate
461,coffee,drinks,coffee
462,bottled beer,drinks,beer
462,liquor,drinks,hard drinks
463,beef,meat and sausage,beef
463,root vegetables,fruit and vegetables,vegetables
464,whole milk,fresh products,dairy produce
464,honey,processed food,sweetener
464,waffles,snacks and candies,long-life bakery products
465,frankfurter,meat and sausage,sausage
465,rolls/buns,fresh products,bread and backed goods
465,pastry,fresh products,bread and backed goods
465,snack products,snacks and candies,snacks
465,specialty bar,snacks and candies,chocolate
466,frankfurter,meat and sausage,sausage
466,sausage,meat and sausage,sausage
466,liver loaf,meat and sausage,sausage
466,root vegetables,fruit and vegetables,vegetables
466,curd,fresh products,dairy produce
466,frozen vegetables,fresh products,frozen foods
466,rolls/buns,fresh products,bread and backed goods
466,semi-finished bread,fresh products,bread and backed goods
466,hygiene articles,perfumery,perfumery
466,photo/film,non-food,games/books/hobby
467,other vegetables,fruit and vegetables,vegetables
467,whole milk,fresh products,dairy produce
467,cream cheese,fresh products,cheese
468,frankfurter,meat and sausage,sausage
468,root vegetables,fruit and vegetables,vegetables
468,pickled vegetables,canned food,canned fruit/vegetables
468,soda,drinks,non-alc. drinks
468,seasonal products,snacks and candies,seasonal products
469,whole milk,fresh products,dairy produce
469,rolls/buns,fresh products,bread and backed goods
469,newspapers,non-food,games/books/hobby
470,frankfurter,meat and sausage,sausage
470,margarine,processed food,vinegar/oils
470,dental care,perfumery,dental care
471,other vegetables,fruit and vegetables,vegetables
471,salty snack,snacks and candies,snacks
472,bottled water,drinks,non-alc. drinks
472,shopping bags,non-food,bags
473,pork,meat and sausage,pork
473,onions,fruit and vegetables,vegetables
473,whole milk,fresh products,dairy produce
473,butter,fresh products,dairy produce
473,rolls/buns,fresh products,bread and backed goods
473,pastry,fresh products,bread and backed goods
473,rum,drinks,hard drinks
473,hygiene articles,perfumery,perfumery
474,bottled water,drinks,non-alc. drinks
475,other vegetables,fruit and vegetables,vegetables
475,whipped/sour cream,fresh products,dairy produce
475,specialty cheese,fresh products,cheese
475,domestic eggs,fresh products,eggs
476,hamburger meat,meat and sausage,beef
476,whole milk,fresh products,dairy produce
476,curd,fresh products,dairy produce
476,pasta,processed food,staple foods
476,canned beer,drinks,beer
477,hamburger meat,meat and sausage,beef
477,citrus fruit,fruit and vegetables,fruit
477,other vegetables,fruit and vegetables,vegetables
478,shopping bags,non-food,bags
479,whole milk,fresh products,dairy produce
479,cream cheese,fresh products,cheese
479,soda,drinks,non-alc. drinks
479,fruit/vegetable juice,drinks,non-alc. drinks
480,ice cream,fresh products,frozen foods
481,pastry,fresh products,bread and backed goods
481,bottled water,drinks,non-alc. drinks
482,ham,meat and sausage,sausage
482,pip fruit,fruit and vegetables,fruit
482,whole milk,fresh products,dairy produce
482,curd,fresh products,dairy produce
482,dessert,fresh products,dairy produce
482,butter milk,fresh products,dairy produce
482,whipped/sour cream,fresh products,dairy produce
482,sliced cheese,fresh products,cheese
482,cream cheese,fresh products,cheese
482,white bread,fresh products,bread and backed goods
482,coffee,drinks,coffee
482,long life bakery product,snacks and candies,long-life bakery products
482,chocolate,snacks and candies,chocolate
482,baby cosmetics,perfumery,cosmetics
483,frankfurter,meat and sausage,sausage
483,soda,drinks,non-alc. drinks
484,sausage,meat and sausage,sausage
484,turkey,meat and sausage,poultry
484,beef,meat and sausage,beef
484,root vegetables,fruit and vegetables,vegetables
484,domestic eggs,fresh products,eggs
484,rolls/buns,fresh products,bread and backed goods
484,flour,processed food,staple foods
484,rice,processed food,staple foods
484,organic products,processed food,health food
484,misc. beverages,drinks,non-alc. drinks
484,napkins,perfumery,perfumery
485,bottled beer,drinks,beer
486,bottled water,drinks,non-alc. drinks
486,bottled beer,drinks,beer
486,napkins,perfumery,perfumery
487,meat,meat and sausage,sausage
487,other vegetables,fruit and vegetables,vegetables
487,hard cheese,fresh products,cheese
487,frozen meals,fresh products,frozen foods
487,bottled water,drinks,non-alc. drinks
487,soda,drinks,non-alc. drinks
488,dessert,fresh products,dairy produce
488,candy,snacks and candies,candy
489,other vegetables,fruit and vegetables,vegetables
489,packaged fruit/vegetables,fruit and vegetables,packaged fruit/vegetables
489,UHT-milk,fresh products,shelf-stable dairy
489,bottled water,drinks,non-alc. drinks
490,beverages,fresh products,dairy produce
490,rolls/buns,fresh products,bread and backed goods
490,soda,drinks,non-alc. drinks
491,ham,meat and sausage,sausage
491,mustard,processed food,condiments
491,canned fish,canned food,canned fish
492,specialty bar,snacks and candies,chocolate
493,brown bread,fresh products,bread and backed goods
493,soda,drinks,non-alc. drinks
493,salty snack,snacks and candies,snacks
493,shopping bags,non-food,bags
494,whole milk,fresh products,dairy produce
494,cream cheese,fresh products,cheese
494,coffee,drinks,coffee
495,rolls/buns,fresh products,bread and backed goods
495,pastry,fresh products,bread and backed goods
495,red/blush wine,drinks,wine
496,bottled beer,drinks,beer
496,nut snack,snacks and candies,snacks
497,pet care,canned food,pet food/care
497,bottled beer,drinks,beer
498,citrus fruit,fruit and vegetables,fruit
498,other vegetables,fruit and vegetables,vegetables
498,soda,drinks,non-alc. drinks
499,pork,meat and sausage,pork
499,other vegetables,fruit and vegetables,vegetables
499,frozen vegetables,fresh products,frozen foods
499,hygiene articles,perfumery,perfumery
500,other vegetables,fruit and vegetables,vegetables
500,shopping bags,non-food,bags
501,white wine,drinks,wine
501,detergent,detergent,detergent/softener
502,whole milk,fresh products,dairy produce
502,dessert,fresh products,dairy produce
502,bottled water,drinks,non-alc. drinks
503,pip fruit,fruit and vegetables,fruit
503,white wine,drinks,wine
503,shopping bags,non-food,bags
504,sugar,processed food,sweetener
504,soda,drinks,non-alc. drinks
504,bottled beer,drinks,beer
505,tropical fruit,fruit and vegetables,fruit
505,pip fruit,fruit and vegetables,fruit
505,rolls/buns,fresh products,bread and backed goods
505,coffee,drinks,coffee
505,fruit/vegetable juice,drinks,non-alc. drinks
505,candy,snacks and candies,candy
506,root vegetables,fruit and vegetables,vegetables
506,cream cheese,fresh products,cheese
506,spread cheese,fresh products,cheese
506,frozen dessert,fresh products,frozen foods
506,white bread,fresh products,bread and backed goods
506,bottled water,drinks,non-alc. drinks
506,soda,drinks,non-alc. drinks
506,misc. beverages,drinks,non-alc. drinks
506,fruit/vegetable juice,drinks,non-alc. drinks
506,bottled beer,drinks,beer
507,soda,drinks,non-alc. drinks
507,misc. beverages,drinks,non-alc. drinks
508,whole milk,fresh products,dairy produce
508,curd,fresh products,dairy produce
509,tropical fruit,fruit and vegetables,fruit
509,other vegetables,fruit and vegetables,vegetables
509,yogurt,fresh products,dairy produce
509,bottled water,drinks,non-alc. drinks
509,male cosmetics,perfumery,cosmetics
510,white bread,fresh products,bread and backed goods
510,brown bread,fresh products,bread and backed goods
511,brown bread,fresh products,bread and backed goods
511,sugar,processed food,sweetener
511,hygiene articles,perfumery,perfumery
512,tropical fruit,fruit and vegetables,fruit
512,root vegetables,fruit and vegetables,vegetables
512,coffee,drinks,coffee
512,bottled water,drinks,non-alc. drinks
512,red/blush wine,drinks,wine
512,candy,snacks and candies,candy
512,house keeping products,non-food,non-food house keeping products
512,shopping bags,non-food,bags
513,domestic eggs,fresh products,eggs
514,coffee,drinks,coffee
514,detergent,detergent,detergent/softener
514,hygiene articles,perfumery,perfumery
514,photo/film,non-food,games/books/hobby
515,soda,drinks,non-alc. drinks
516,whole milk,fresh products,dairy produce
517,bottled beer,drinks,beer
518,pork,meat and sausage,pork
518,beef,meat and sausage,beef
518,berries,fruit and vegetables,fruit
518,packaged fruit/vegetables,fruit and vegetables,packaged fruit/vegetables
518,whole milk,fresh products,dairy produce
518,mayonnaise,fresh products,delicatessen
518,frozen fish,fresh products,frozen foods
518,frozen potato products,fresh products,frozen foods
518,oil,processed food,vinegar/oils
518,mustard,processed food,condiments
518,cat food,canned food,pet food/care
518,coffee,drinks,coffee
518,soda,drinks,non-alc. drinks
518,chocolate,snacks and candies,chocolate
518,dish cleaner,detergent,cleaner
518,napkins,perfumery,perfumery
518,newspapers,non-food,games/books/hobby
519,other vegetables,fruit and vegetables,vegetables
519,yogurt,fresh products,dairy produce
520,yogurt,fresh products,dairy produce
520,bottled water,drinks,non-alc. drinks
520,dishes,non-food,non-food kitchen
521,sparkling wine,drinks,wine
522,bottled water,drinks,non-alc. drinks
522,candy,snacks and candies,candy
523,citrus fruit,fruit and vegetables,fruit
523,berries,fruit and vegetables,fruit
523,other vegetables,fruit and vegetables,vegetables
523,butter milk,fresh products,dairy produce
523,sugar,processed food,sweetener
523,fruit/vegetable juice,drinks,non-alc. drinks
523,hygiene articles,perfumery,perfumery
524,hamburger meat,meat and sausage,beef
524,root vegetables,fruit and vegetables,vegetables
524,other vegetables,fruit and vegetables,vegetables
524,whole milk,fresh products,dairy produce
524,rolls/buns,fresh products,bread and backed goods
525,packaged fruit/vegetables,fruit and vegetables,packaged fruit/vegetables
525,seasonal products,snacks and candies,seasonal products
526,other vegetables,fruit and vegetables,vegetables
526,margarine,processed food,vinegar/oils
527,soda,drinks,non-alc. drinks
528,whole milk,fresh products,dairy produce
528,yogurt,fresh products,dairy produce
528,frozen potato products,fresh products,frozen foods
528,margarine,processed food,vinegar/oils
528,bottled water,drinks,non-alc. drinks
528,fruit/vegetable juice,drinks,non-alc. drinks
528,salty snack,snacks and candies,snacks
529,herbs,fruit and vegetables,vegetables
529,yogurt,fresh products,dairy produce
530,citrus fruit,fruit and vegetables,fruit
530,spread cheese,fresh products,cheese
530,rolls/buns,fresh products,bread and backed goods
530,soda,drinks,non-alc. drinks
531,misc. beverages,drinks,non-alc. drinks
532,female sanitary products,perfumery,cosmetics
533,soda,drinks,non-alc. drinks
534,tropical fruit,fruit and vegetables,fruit
534,whole milk,fresh products,dairy produce
534,beverages,fresh products,dairy produce
534,white bread,fresh products,bread and backed goods
534,pasta,processed food,staple foods
534,shopping bags,non-food,bags
535,soda,drinks,non-alc. drinks
535,female sanitary products,perfumery,cosmetics
536,white bread,fresh products,bread and backed goods
536,bottled water,drinks,non-alc. drinks
536,soda,drinks,non-alc. drinks
536,waffles,snacks and candies,long-life bakery products
537,coffee,drinks,coffee
537,chewing gum,snacks and candies,chewing gum
537,chocolate marshmallow,snacks and candies,chocolate
538,tropical fruit,fruit and vegetables,fruit
538,root vegetables,fruit and vegetables,vegetables
538,whole milk,fresh products,dairy produce
538,frozen vegetables,fresh products,frozen foods
538,honey,processed food,sweetener
538,baking powder,processed food,bakery improver
538,coffee,drinks,coffee
538,red/blush wine,drinks,wine
538,chocolate marshmallow,snacks and candies,chocolate
539,pork,meat and sausage,pork
539,pip fruit,fruit and vegetables,fruit
539,whole milk,fresh products,dairy produce
539,butter milk,fresh products,dairy produce
540,citrus fruit,fruit and vegetables,fruit
540,bottled water,drinks,non-alc. drinks
541,frankfurter,meat and sausage,sausage
542,frankfurter,meat and sausage,sausage
542,rolls/buns,fresh products,bread and backed goods
543,frankfurter,meat and sausage,sausage
543,tropical fruit,fruit and vegetables,fruit
543,pip fruit,fruit and vegetables,fruit
543,curd,fresh products,dairy produce
543,UHT-milk,fresh products,shelf-stable dairy
543,hard cheese,fresh products,cheese
543,domestic eggs,fresh products,eggs
543,rolls/buns,fresh products,bread and backed goods
543,hygiene articles,perfumery,perfumery
543,napkins,perfumery,perfumery
543,shopping bags,non-food,bags
544,other vegetables,fruit and vegetables,vegetables
545,yogurt,fresh products,dairy produce
545,fruit/vegetable juice,drinks,non-alc. drinks
545,newspapers,non-food,games/books/hobby
546,sausage,meat and sausage,sausage
546,whole milk,fresh products,dairy produce
546,yogurt,fresh products,dairy produce
546,brown bread,fresh products,bread and backed goods
546,cereals,processed food,health food
546,bottled water,drinks,non-alc. drinks
546,soda,drinks,non-alc. drinks
547,whole milk,fresh products,dairy produce
548,pip fruit,fruit and vegetables,fruit
548,whole milk,fresh products,dairy produce
548,curd,fresh products,dairy produce
548,pastry,fresh products,bread and backed goods
548,bottled water,drinks,non-alc. drinks
549,whole milk,fresh products,dairy produce
550,root vegetables,fruit and vegetables,vegetables
550,other vegetables,fruit and vegetables,vegetables
551,onions,fruit and vegetables,vegetables
551,fruit/vegetable juice,drinks,non-alc. drinks
552,specialty chocolate,snacks and candies,chocolate
553,hamburger meat,meat and sausage,beef
553,domestic eggs,fresh products,eggs
554,photo/film,non-food,games/books/hobby
555,rolls/buns,fresh products,bread and backed goods
555,soda,drinks,non-alc. drinks
555,snack products,snacks and candies,snacks
555,newspapers,non-food,games/books/hobby
556,canned beer,drinks,beer
557,canned beer,drinks,beer
558,other vegetables,fruit and vegetables,vegetables
558,curd,fresh products,dairy produce
558,frozen meals,fresh products,frozen foods
558,frozen potato products,fresh products,frozen foods
558,soda,drinks,non-alc. drinks
558,bottled beer,drinks,beer
558,kitchen towels,non-food,non-food house keeping products
558,candles,non-food,non-food house keeping products
559,canned beer,drinks,beer
560,curd,fresh products,dairy produce
560,whipped/sour cream,fresh products,dairy produce
560,rolls/buns,fresh products,bread and backed goods
560,zwieback,fresh products,bread and backed goods
560,spices,processed food,condiments
561,butter,fresh products,dairy produce
561,fruit/vegetable juice,drinks,non-alc. drinks
561,newspapers,non-food,games/books/hobby
562,other vegetables,fruit and vegetables,vegetables
562,whole milk,fresh products,dairy produce
562,yogurt,fresh products,dairy produce
562,domestic eggs,fresh products,eggs
562,bottled water,drinks,non-alc. drinks
562,soda,drinks,non-alc. drinks
563,whole milk,fresh products,dairy produce
564,beef,meat and sausage,beef
564,tropical fruit,fruit and vegetables,fruit
564,herbs,fruit and vegetables,vegetables
564,whole milk,fresh products,dairy produce
564,curd,fresh products,dairy produce
564,yogurt,fresh products,dairy produce
564,whipped/sour cream,fresh products,dairy produce
564,sliced cheese,fresh products,cheese
565,sausage,meat and sausage,sausage
565,rolls/buns,fresh products,bread and backed goods
566,soda,drinks,non-alc. drinks
567,fruit/vegetable juice,drinks,non-alc. drinks
567,long life bakery product,snacks and candies,long-life bakery products
568,rolls/buns,fresh products,bread and backed goods
568,coffee,drinks,coffee
568,long life bakery product,snacks and candies,long-life bakery products
568,detergent,detergent,detergent/softener
568,shopping bags,non-food,bags
569,pip fruit,fruit and vegetables,fruit
569,whole milk,fresh products,dairy produce
569,bottled water,drinks,non-alc. drinks
569,candy,snacks and candies,candy
570,frozen vegetables,fresh products,frozen foods
570,bottled beer,drinks,beer
570,liquor (appetizer),drinks,hard drinks
570,chewing gum,snacks and candies,chewing gum
570,napkins,perfumery,perfumery
570,newspapers,non-food,games/books/hobby
571,beverages,fresh products,dairy produce
572,hamburger meat,meat and sausage,beef
572,root vegetables,fruit and vegetables,vegetables
572,other vegetables,fruit and vegetables,vegetables
572,domestic eggs,fresh products,eggs
572,roll products,fresh products,bread and backed goods
572,oil,processed food,vinegar/oils
572,margarine,processed food,vinegar/oils
572,hygiene articles,perfumery,perfumery
573,root vegetables,fruit and vegetables,vegetables
573,other vegetables,fruit and vegetables,vegetables
573,whole milk,fresh products,dairy produce
573,yogurt,fresh products,dairy produce
573,fruit/vegetable juice,drinks,non-alc. drinks
573,white wine,drinks,wine
574,canned beer,drinks,beer
575,frozen vegetables,fresh products,frozen foods
575,bottled beer,drinks,beer
576,canned beer,drinks,beer
577,newspapers,non-food,games/books/hobby
578,rolls/buns,fresh products,bread and backed goods
579,hamburger meat,meat and sausage,beef
579,UHT-milk,fresh products,shelf-stable dairy
579,salty snack,snacks and candies,snacks
580,pip fruit,fruit and vegetables,fruit
580,whole milk,fresh products,dairy produce
580,curd,fresh products,dairy produce
580,rum,drinks,hard drinks
581,canned beer,drinks,beer
582,grapes,fruit and vegetables,fruit
582,root vegetables,fruit and vegetables,vegetables
582,frozen vegetables,fresh products,frozen foods
582,domestic eggs,fresh products,eggs
582,white wine,drinks,wine
583,root vegetables,fruit and vegetables,vegetables
583,packaged fruit/vegetables,fruit and vegetables,packaged fruit/vegetables
583,butter,fresh products,dairy produce
583,whipped/sour cream,fresh products,dairy produce
583,rolls/buns,fresh products,bread and backed goods
584,citrus fruit,fruit and vegetables,fruit
584,frozen vegetables,fresh products,frozen foods
584,rolls/buns,fresh products,bread and backed goods
584,canned beer,drinks,beer
584,salty snack,snacks and candies,snacks
585,cling film/bags,non-food,non-food kitchen
585,pot plants,non-food,garden
586,frankfurter,meat and sausage,sausage
586,whole milk,fresh products,dairy produce
586,rolls/buns,fresh products,bread and backed goods
586,margarine,processed food,vinegar/oils
586,baking powder,processed food,bakery improver
586,bottled beer,drinks,beer
587,whole milk,fresh products,dairy produce
587,red/blush wine,drinks,wine
588,pork,meat and sausage,pork
588,tropical fruit,fruit and vegetables,fruit
588,whole milk,fresh products,dairy produce
588,curd,fresh products,dairy produce
588,yogurt,fresh products,dairy produce
588,hard cheese,fresh products,cheese
588,frozen meals,fresh products,frozen foods
588,frozen dessert,fresh products,frozen foods
588,domestic eggs,fresh products,eggs
588,cereals,processed food,health food
588,baking powder,processed food,bakery improver
588,fruit/vegetable juice,drinks,non-alc. drinks
588,soap,perfumery,soap
589,chicken,meat and sausage,poultry
589,pastry,fresh products,bread and backed goods
590,sausage,meat and sausage,sausage
590,dish cleaner,detergent,cleaner
590,dishes,non-food,non-food kitchen
591,specialty bar,snacks and candies,chocolate
592,whipped/sour cream,fresh products,dairy produce
592,pastry,fresh products,bread and backed goods
592,specialty bar,snacks and candies,chocolate
593,root vegetables,fruit and vegetables,vegetables
593,brown bread,fresh products,bread and backed goods
594,rolls/buns,fresh products,bread and backed goods
594,soda,drinks,non-alc. drinks
595,other vegetables,fruit and vegetables,vegetables
595,bottled beer,drinks,beer
595,red/blush wine,drinks,wine
596,citrus fruit,fruit and vegetables,fruit
596,tropical fruit,fruit and vegetables,fruit
596,berries,fruit and vegetables,fruit
596,root vegetables,fruit and vegetables,vegetables
596,other vegetables,fruit and vegetables,vegetables
596,whole milk,fresh products,dairy produce
596,butter,fresh products,dairy produce
596,bottled water,drinks,non-alc. drinks
596,rubbing alcohol,perfumery,personal hygiene
596,hygiene articles,perfumery,perfumery
596,napkins,perfumery,perfumery
597,whole milk,fresh products,dairy produce
597,processed cheese,fresh products,cheese
597,brown bread,fresh products,bread and backed goods
597,pastry,fresh products,bread and backed goods
597,soda,drinks,non-alc. drinks
598,frankfurter,meat and sausage,sausage
598,sausage,meat and sausage,sausage
598,tropical fruit,fruit and vegetables,fruit
598,root vegetables,fruit and vegetables,vegetables
598,whole milk,fresh products,dairy produce
598,yogurt,fresh products,dairy produce
598,rolls/buns,fresh products,bread and backed goods
598,pastry,fresh products,bread and backed goods
598,candy,snacks and candies,candy
599,coffee,drinks,coffee
599,long life bakery product,snacks and candies,long-life bakery products
600,ham,meat and sausage,sausage
600,rolls/buns,fresh products,bread and backed goods
600,white wine,drinks,wine
601,canned beer,drinks,beer
602,canned beer,drinks,beer
603,canned beer,drinks,beer
604,pip fruit,fruit and vegetables,fruit
604,whole milk,fresh products,dairy produce
604,canned fish,canned food,canned fish
605,pork,meat and sausage,pork
605,pip fruit,fruit and vegetables,fruit
605,other vegetables,fruit and vegetables,vegetables
605,whole milk,fresh products,dairy produce
605,curd,fresh products,dairy produce
605,white bread,fresh products,bread and backed goods
605,sugar,processed food,sweetener
605,bottled water,drinks,non-alc. drinks
605,soda,drinks,non-alc. drinks
606,soap,perfumery,soap
607,pip fruit,fruit and vegetables,fruit
607,butter,fresh products,dairy produce
607,frozen meals,fresh products,frozen foods
607,pasta,processed food,staple foods
607,bottled water,drinks,non-alc. drinks
608,beef,meat and sausage,beef
608,hamburger meat,meat and sausage,beef
608,citrus fruit,fruit and vegetables,fruit
608,whole milk,fresh products,dairy produce
608,mustard,processed food,condiments
608,soap,perfumery,soap
609,sausage,meat and sausage,sausage
609,meat,meat and sausage,sausage
609,other vegetables,fruit and vegetables,vegetables
609,whole milk,fresh products,dairy produce
609,yogurt,fresh products,dairy produce
609,rolls/buns,fresh products,bread and backed goods
609,soda,drinks,non-alc. drinks
609,bottled beer,drinks,beer
609,chocolate,snacks and candies,chocolate
609,newspapers,non-food,games/books/hobby
610,frozen chicken,fresh products,frozen foods
611,soda,drinks,non-alc. drinks
612,tropical fruit,fruit and vegetables,fruit
612,curd,fresh products,dairy produce
612,yogurt,fresh products,dairy produce
612,rolls/buns,fresh products,bread and backed goods
612,brown bread,fresh products,bread and backed goods
612,bottled water,drinks,non-alc. drinks
612,bottled beer,drinks,beer
612,seasonal products,snacks and candies,seasonal products
613,other vegetables,fruit and vegetables,vegetables
614,beef,meat and sausage,beef
614,citrus fruit,fruit and vegetables,fruit
614,curd,fresh products,dairy produce
614,rolls/buns,fresh products,bread and backed goods
614,oil,processed food,vinegar/oils
614,margarine,processed food,vinegar/oils
614,specialty bar,snacks and candies,chocolate
614,detergent,detergent,detergent/softener
614,newspapers,non-food,games/books/hobby
615,meat,meat and sausage,sausage
615,pork,meat and sausage,pork
615,beef,meat and sausage,beef
615,citrus fruit,fruit and vegetables,fruit
615,root vegetables,fruit and vegetables,vegetables
615,other vegetables,fruit and vegetables,vegetables
615,whole milk,fresh products,dairy produce
615,pickled vegetables,canned food,canned fruit/vegetables
616,meat,meat and sausage,sausage
616,hamburger meat,meat and sausage,beef
616,root vegetables,fruit and vegetables,vegetables
616,packaged fruit/vegetables,fruit and vegetables,packaged fruit/vegetables
616,whole milk,fresh products,dairy produce
616,butter,fresh products,dairy produce
616,newspapers,non-food,games/books/hobby
617,bottled water,drinks,non-alc. drinks
617,soda,drinks,non-alc. drinks
617,red/blush wine,drinks,wine
617,long life bakery product,snacks and candies,long-life bakery products
617,newspapers,non-food,games/books/hobby
618,rolls/buns,fresh products,bread and backed goods
619,pastry,fresh products,bread and backed goods
619,canned beer,drinks,beer
620,pork,meat and sausage,pork
620,whole milk,fresh products,dairy produce
620,pastry,fresh products,bread and backed goods
620,sauces,processed food,soups/sauces
621,pip fruit,fruit and vegetables,fruit
621,sliced cheese,fresh products,cheese
621,pastry,fresh products,bread and backed goods
621,white wine,drinks,wine
621,light bulbs,non-food,non-food house keeping products
